price_date,open_price,close_price,high_price,low_price,volume,ticker,sector
2020-01-02,71.34406947838406,72.33389282226562,72.39410082239243,71.09119881769524,135480400,AAPL,Technology
2020-01-03,71.56320547713457,71.6306381225586,72.38925722098051,71.40666619485818,146322800,AAPL,Technology
2020-01-06,70.7539985575802,72.2013931274414,72.23992710936326,70.50353134989086,118387200,AAPL,Technology
2020-01-07,72.21103349810856,71.86183166503906,72.46631471524569,71.64267376172208,108872000,AAPL,Technology
2020-01-08,71.56563615467269,73.01785278320312,73.31889277543256,71.56563615467269,132079200,AAPL,Technology
2020-01-09,73.99320238999518,74.56879425048828,74.76145686133366,73.74274246581768,170108400,AAPL,Technology
2020-01-10,74.80239504412852,74.73736572265625,75.30091887725054,74.23643856809193,140644800,AAPL,Technology
2020-01-13,75.05286332420356,76.3340835571289,76.36057889021191,74.93485068528152,121532000,AAPL,Technology
2020-01-14,76.27148630079421,75.30333709716797,76.48100893453174,75.18051779267843,161954400,AAPL,Technology
2020-01-15,75.10344034713454,74.9806137084961,75.98247543934815,74.54952248725758,121923600,AAPL,Technology
2020-01-16,75.52246682768192,75.91983795166016,76.0306259059178,75.16121901504614,108829200,AAPL,Technology
2020-01-17,76.16791647174253,76.76036834716797,76.76277166888072,75.86206254796348,137816400,AAPL,Technology
2020-01-21,76.38946504217743,76.24015045166016,76.83018415127219,76.10287451536945,110843200,AAPL,Technology
2020-01-22,76.72426273775727,76.51233673095703,77.06383677251334,76.41840871407105,101832400,AAPL,Technology
2020-01-23,76.56528622859716,76.88077545166016,76.96024675038308,76.01859307367198,104472000,AAPL,Technology
2020-01-24,77.12641705620177,76.6592025756836,77.8681760847734,76.46894331412666,146537600,AAPL,Technology
2020-01-27,74.67234921705278,74.405029296875,75.08416976822737,73.42484155700832,161940000,AAPL,Technology
2020-01-28,75.28406920782065,76.50990295410156,76.68089158109271,75.18532722614749,162234000,AAPL,Technology
2020-01-29,78.13793790519387,78.11144256591797,78.95676515736241,77.39858197163568,216229200,AAPL,Technology
2020-01-30,77.19626294921763,77.99822998046875,78.05121329496869,76.76517176985938,126743200,AAPL,Technology
2020-01-31,77.29021440201876,74.5399169921875,77.71167041513803,74.24610164905711,199588400,AAPL,Technology
2020-02-03,73.28515870612867,74.33518981933594,75.4984048922783,72.78423148900761,173788400,AAPL,Technology
2020-02-04,75.93671379066781,76.78926086425781,76.9795201431656,75.53211792000401,136616400,AAPL,Technology
2020-02-05,77.91392164396883,77.4154052734375,78.2125581517133,76.81332561615335,118826800,AAPL,Technology
2020-02-06,77.68516086755363,78.32095336914062,78.3233640404218,77.12883967256218,105425600,AAPL,Technology
2020-02-07,77.82126159942887,77.25637817382812,78.0699069624119,76.76632925971391,117684000,AAPL,Technology
2020-02-10,75.84415588740227,77.62329864501953,77.62329864501953,75.7644959675757,109348800,AAPL,Technology
2020-02-11,78.11818095050265,77.15497589111328,78.19059906005786,76.9377141953968,94323200,AAPL,Technology
2020-02-12,77.60397618630914,78.98722076416016,78.99204618157108,77.60397618630914,113730400,AAPL,Technology
2020-02-13,78.2605910618148,78.42474365234375,78.75063980830953,78.05781303227035,94747600,AAPL,Technology
2020-02-14,78.39337649475979,78.44407653808594,78.6927218682662,77.93712767417983,80113600,AAPL,Technology
2020-02-18,76.12900862033511,77.00772094726562,77.18877358272158,75.94795598487916,152531200,AAPL,Technology
2020-02-19,77.24913667748609,78.12301635742188,78.35235267875386,77.24913667748609,93984000,AAPL,Technology
2020-02-20,77.88401513292217,77.32154083251953,78.37164756799683,76.81700838375629,100566000,AAPL,Technology
2020-02-21,76.91599243144344,75.57137298583984,77.35776502195542,74.95579692410486,129554000,AAPL,Technology
2020-02-24,71.75962518984169,71.9817123413086,73.43013371315247,69.82115488187272,222195200,AAPL,Technology
2020-02-25,72.6503953158895,69.54352569580078,73.03180965186876,69.07279323243056,230673600,AAPL,Technology
2020-02-26,69.16934783382864,70.64673614501953,71.90927916190874,69.16210602316792,198054800,AAPL,Technology
2020-02-27,67.85851360418104,66.02867126464844,69.0413890764873,65.89348591735909,320605600,AAPL,Technology
2020-02-28,62.10348270400579,65.99007415771484,67.20916656577968,61.88862999768775,426510000,AAPL,Technology
2020-03-02,68.14338175177791,72.13378143310547,72.76867383608672,67.04258234775999,341397200,AAPL,Technology
2020-03-03,73.30700681770827,69.84286499023438,73.3866667341741,68.99311992366323,319475600,AAPL,Technology
2020-03-04,71.5616425276586,73.08248138427734,73.24180855249296,70.76259766156525,219178400,AAPL,Technology
2020-03-05,71.33955724756618,70.7119140625,72.31241302487865,70.34739243241086,187572800,AAPL,Technology
2020-03-06,68.07580613740882,69.77287292480469,70.20498737405435,67.889928042293,226176800,AAPL,Technology
2020-03-09,63.67016438238683,64.25436401367188,67.13188921300795,63.48911178224734,286744800,AAPL,Technology
2020-03-10,66.90254597753136,68.88204956054688,69.14759479048914,65.02683672783965,285290000,AAPL,Technology
2020-03-11,66.96292517997638,66.4897689819336,67.88749740945617,65.62795665733853,255598800,AAPL,Technology
2020-03-12,61.784814276675704,59.92359161376953,65.17894700154001,59.86806983845157,418474000,AAPL,Technology
2020-03-13,63.94538830639056,67.10294342041016,67.5736832780311,61.06302571813862,370732000,AAPL,Technology
2020-03-16,58.40757346412376,58.470340728759766,62.54281272853614,57.93683739697829,322423600,AAPL,Technology
2020-03-17,59.749772593000145,61.041282653808594,62.187945473114404,57.550586794967394,324056000,AAPL,Technology
2020-03-18,57.881318208922394,59.547000885009766,60.35087498179023,57.24159672400037,300233600,AAPL,Technology
2020-03-19,59.72081881991735,59.090755462646484,61.03646731467495,58.56691024737155,271857200,AAPL,Technology
